Customer_ID,Churn_Probability,Predicted_Churn,Risk_Level
CUST10000,0.003114321098029779,0,Low Risk
CUST10001,0.005439041858273041,0,Low Risk
CUST10002,0.008879172377773975,0,Low Risk
CUST10003,0.0028835434472507084,0,Low Risk
CUST10004,0.01540043128513039,0,Low Risk
CUST10005,0.854754279866262,1,High Risk
CUST10006,0.33629504648869685,0,Low Risk
CUST10007,0.0007833749743314621,0,Low Risk
CUST10008,0.019488978077871442,0,Low Risk
CUST10009,0.03682259026317804,0,Low Risk
CUST10010,0.017071429072194694,0,Low Risk
CUST10011,0.011063544943891238,0,Low Risk
CUST10012,0.02211350741026624,0,Low Risk
CUST10013,0.3108167698283766,0,Low Risk
CUST10014,0.0338920356148865,0,Low Risk
CUST10015,0.33923772758167076,0,Low Risk
CUST10016,0.37825367667888943,0,Medium Risk
CUST10017,0.00402074106315323,0,Low Risk
CUST10018,0.0032038073690286517,0,Low Risk
CUST10019,0.10182981497655338,0,Low Risk
CUST10020,0.001178585970762066,0,Low Risk
CUST10021,0.008554446565475497,0,Low Risk
CUST10022,0.9641498293190743,1,High Risk
CUST10023,0.24541756891280073,0,Low Risk
CUST10024,0.7784371064162423,1,High Risk
CUST10025,0.010425082947084064,0,Low Risk
CUST10026,0.0025798530064874044,0,Low Risk
CUST10027,0.654501275032309,1,High Risk
CUST10028,0.006419195904322646,0,Low Risk
CUST10029,0.023850742464688976,0,Low Risk
CUST10030,0.009557122853091462,0,Low Risk
CUST10031,0.0026038892378518674,0,Low Risk
CUST10032,0.019760583604219895,0,Low Risk
CUST10033,0.0025942008286996615,0,Low Risk
CUST10034,0.03219303070419623,0,Low Risk
CUST10035,0.9476497055151492,1,High Risk
CUST10036,0.001278807325774296,0,Low Risk
CUST10037,0.2764106013666586,0,Low Risk
CUST10038,0.9231783153831618,1,High Risk
CUST10039,0.015140407021208351,0,Low Risk
CUST10040,0.12507134642452847,0,Low Risk
CUST10041,0.002947637941011617,0,Low Risk
CUST10042,0.03566311417667865,0,Low Risk
CUST10043,0.009644827528405056,0,Low Risk
CUST10044,0.020616845670881533,0,Low Risk
CUST10045,0.014742970811042807,0,Low Risk
CUST10046,0.028286081554001703,0,Low Risk
CUST10047,0.0925463210566448,0,Low Risk
CUST10048,0.06499967962301069,0,Low Risk
CUST10049,0.09135071220266626,0,Low Risk
CUST10050,0.011336296982849017,0,Low Risk
CUST10051,0.8318119575459616,1,High Risk
CUST10052,0.12677069016476625,0,Low Risk
CUST10053,0.0905251614543115,0,Low Risk
CUST10054,0.002765481724025113,0,Low Risk
CUST10055,0.002356799460399599,0,Low Risk
CUST10056,0.009342291819520681,0,Low Risk
CUST10057,0.01277457553524338,0,Low Risk
CUST10058,0.1565512838307452,0,Low Risk
CUST10059,0.06407960625075088,0,Low Risk
CUST10060,0.0024019497009858475,0,Low Risk
CUST10061,0.012624416543558076,0,Low Risk
CUST10062,0.2578302875261451,0,Low Risk
CUST10063,0.9926173878154566,1,High Risk
CUST10064,0.007890694086986243,0,Low Risk
CUST10065,0.901599006993753,1,High Risk
CUST10066,0.005689515482554955,0,Low Risk
CUST10067,0.04726357598397198,0,Low Risk
CUST10068,0.03460902530429525,0,Low Risk
CUST10069,0.005192389396591028,0,Low Risk
CUST10070,0.7425822950096959,1,High Risk
CUST10071,0.2936356786512243,0,Low Risk
CUST10072,0.059432721181579114,0,Low Risk
CUST10073,0.0017299954127353257,0,Low Risk
CUST10074,0.009127950169674923,0,Low Risk
CUST10075,0.06633415214089039,0,Low Risk
CUST10076,0.002168384007131818,0,Low Risk
CUST10077,0.004758318730384985,0,Low Risk
CUST10078,0.006696630067585118,0,Low Risk
CUST10079,0.8821713049103174,1,High Risk
CUST10080,0.012486749217726047,0,Low Risk
CUST10081,0.3301728958585196,0,Low Risk
CUST10082,0.2557614131225894,0,Low Risk
CUST10083,0.016543436537777435,0,Low Risk
CUST10084,0.3578521827967741,0,Medium Risk
CUST10085,0.0010907818268736423,0,Low Risk
CUST10086,0.0036990341292192403,0,Low Risk
CUST10087,0.004621881452999863,0,Low Risk
CUST10088,0.006418499320052101,0,Low Risk
CUST10089,0.0054527602620537295,0,Low Risk
CUST10090,0.12086895933679581,0,Low Risk
CUST10091,0.057093968249291555,0,Low Risk
CUST10092,0.056068104712073887,0,Low Risk
CUST10093,0.9540931444848798,1,High Risk
CUST10094,0.03283428411641609,0,Low Risk
CUST10095,0.008241642688275142,0,Low Risk
CUST10096,0.02669822250696417,0,Low Risk
CUST10097,0.026925131018256204,0,Low Risk
CUST10098,0.9258970640626837,1,High Risk
CUST10099,0.004582669473877484,0,Low Risk
CUST10100,0.0032830241124627625,0,Low Risk
CUST10101,0.008093824678636336,0,Low Risk
CUST10102,0.9393540242852481,1,High Risk
CUST10103,0.006270948815546626,0,Low Risk
CUST10104,0.13314463081625225,0,Low Risk
CUST10105,0.4548083217096565,0,Medium Risk
CUST10106,0.40928727704783024,0,Medium Risk
CUST10107,0.9750185938122117,1,High Risk
CUST10108,0.9409744717803188,1,High Risk
CUST10109,0.024714885037762008,0,Low Risk
CUST10110,0.992093952326231,1,High Risk
CUST10111,0.006264680148081128,0,Low Risk
CUST10112,0.14520914138417798,0,Low Risk
CUST10113,0.054621005382661764,0,Low Risk
CUST10114,0.007874253074440153,0,Low Risk
CUST10115,0.006637755597156726,0,Low Risk
CUST10116,0.08113726447912645,0,Low Risk
CUST10117,0.0027157599029660807,0,Low Risk
CUST10118,0.015879326728434794,0,Low Risk
CUST10119,0.8666956881683305,1,High Risk
CUST10120,0.006094592126022536,0,Low Risk
CUST10121,0.002071957581826463,0,Low Risk
CUST10122,0.001595544975141885,0,Low Risk
CUST10123,0.9477176188332851,1,High Risk
CUST10124,0.003964746587346628,0,Low Risk
CUST10125,0.0025317617712401945,0,Low Risk
CUST10126,0.12911470742018677,0,Low Risk
CUST10127,0.007340298520566539,0,Low Risk
CUST10128,0.0027822827836572043,0,Low Risk
CUST10129,0.0035620665049568862,0,Low Risk
CUST10130,0.9352471139491625,1,High Risk
CUST10131,0.0014625409610960025,0,Low Risk
CUST10132,0.0010165844898388026,0,Low Risk
CUST10133,0.08807336921844516,0,Low Risk
CUST10134,0.006738243353256245,0,Low Risk
CUST10135,0.5770470512666087,1,Medium Risk
CUST10136,0.00553638967274855,0,Low Risk
CUST10137,0.04080604879594617,0,Low Risk
CUST10138,0.0016997313311565062,0,Low Risk
CUST10139,0.0038592529027290184,0,Low Risk
CUST10140,0.013761045639503523,0,Low Risk
CUST10141,0.03721911927962711,0,Low Risk
CUST10142,0.001867654521705238,0,Low Risk
CUST10143,0.1397570861877788,0,Low Risk
CUST10144,0.005263708801419129,0,Low Risk
CUST10145,0.0017517830247851635,0,Low Risk
CUST10146,0.0028172349000394,0,Low Risk
CUST10147,0.9183085101574089,1,High Risk
CUST10148,0.020564094263760074,0,Low Risk
CUST10149,0.7308120318938145,1,High Risk
CUST10150,0.017653281661404095,0,Low Risk
CUST10151,0.0018894145384776289,0,Low Risk
CUST10152,0.0017678309626221653,0,Low Risk
CUST10153,0.002964323755725511,0,Low Risk
CUST10154,0.0019059850519027126,0,Low Risk
CUST10155,0.028099018384941787,0,Low Risk
CUST10156,0.0016142528489545339,0,Low Risk
CUST10157,0.8369100800922886,1,High Risk
CUST10158,0.0038334316281265386,0,Low Risk
CUST10159,0.016679329984972357,0,Low Risk
CUST10160,0.10188668692004785,0,Low Risk
CUST10161,0.991152675231335,1,High Risk
CUST10162,0.0018960758692319478,0,Low Risk
CUST10163,0.02332359218577938,0,Low Risk
CUST10164,0.0027070278132843716,0,Low Risk
CUST10165,0.9975272672685082,1,High Risk
CUST10166,0.036520064571754364,0,Low Risk
CUST10167,0.10654042064816749,0,Low Risk
CUST10168,0.0024727881617809993,0,Low Risk
CUST10169,0.8820452320768133,1,High Risk
CUST10170,0.001828796359251402,0,Low Risk
CUST10171,0.01198885336184513,0,Low Risk
CUST10172,0.0017218347093248348,0,Low Risk
CUST10173,0.008759969785320522,0,Low Risk
CUST10174,0.005732798630163796,0,Low Risk
CUST10175,0.002228330747209609,0,Low Risk
CUST10176,0.010046014130244243,0,Low Risk
CUST10177,0.00589202636822555,0,Low Risk
CUST10178,0.029871849807955042,0,Low Risk
CUST10179,0.034250560910237385,0,Low Risk
CUST10180,0.019265711457626088,0,Low Risk
CUST10181,0.9697168325844924,1,High Risk
CUST10182,0.048063487361628264,0,Low Risk
CUST10183,0.9444800995896969,1,High Risk
CUST10184,0.0013102004321902015,0,Low Risk
CUST10185,0.00761037190224868,0,Low Risk
CUST10186,0.04251786055051746,0,Low Risk
CUST10187,0.5420776257094646,1,Medium Risk
CUST10188,0.040352473050843406,0,Low Risk
CUST10189,0.005348354106005864,0,Low Risk
CUST10190,0.0078124554732846106,0,Low Risk
CUST10191,0.04413042840169891,0,Low Risk
CUST10192,0.7769725783796387,1,High Risk
CUST10193,0.019110481526586436,0,Low Risk
CUST10194,0.008400023587870124,0,Low Risk
CUST10195,0.9870377225031398,1,High Risk
CUST10196,0.01660988398719527,0,Low Risk
CUST10197,0.9871616183440352,1,High Risk
CUST10198,0.004309503973134225,0,Low Risk
CUST10199,0.012292159432635919,0,Low Risk
CUST10200,0.008904096248676923,0,Low Risk
CUST10201,0.004196358765198648,0,Low Risk
CUST10202,0.012614369033128046,0,Low Risk
CUST10203,0.00935545180029705,0,Low Risk
CUST10204,0.015819737407891325,0,Low Risk
CUST10205,0.31105163828990706,0,Low Risk
CUST10206,0.004632523814989117,0,Low Risk
CUST10207,0.0013758015486220014,0,Low Risk
CUST10208,0.9149448496552949,1,High Risk
CUST10209,0.4528759898230597,0,Medium Risk
CUST10210,0.7930777733479092,1,High Risk
CUST10211,0.016569217288889028,0,Low Risk
CUST10212,0.0031257063421641735,0,Low Risk
CUST10213,0.9054030672134128,1,High Risk
CUST10214,0.03129140928781157,0,Low Risk
CUST10215,0.049338229158159046,0,Low Risk
CUST10216,0.03607136981541914,0,Low Risk
CUST10217,0.021602573667869707,0,Low Risk
CUST10218,0.4237940476451707,0,Medium Risk
CUST10219,0.0016276324051990702,0,Low Risk
CUST10220,0.011035384785030551,0,Low Risk
CUST10221,0.0979672916065104,0,Low Risk
CUST10222,0.2880048268104092,0,Low Risk
CUST10223,0.11536580119115168,0,Low Risk
CUST10224,0.9771991362510004,1,High Risk
CUST10225,0.0035726475439071936,0,Low Risk
CUST10226,0.005086725165886191,0,Low Risk
CUST10227,0.9764590723083878,1,High Risk
CUST10228,0.02704169465485648,0,Low Risk
CUST10229,0.031061883991732382,0,Low Risk
CUST10230,0.0037401359129313172,0,Low Risk
CUST10231,0.0027552508534300427,0,Low Risk
CUST10232,0.0018466348835018992,0,Low Risk
CUST10233,0.03646616685484078,0,Low Risk
CUST10234,0.0014785920632007974,0,Low Risk
CUST10235,0.004534406088608374,0,Low Risk
CUST10236,0.007843449122513032,0,Low Risk
CUST10237,0.022240584208903028,0,Low Risk
CUST10238,0.06971436350239296,0,Low Risk
CUST10239,0.02273529819492917,0,Low Risk
CUST10240,0.9673394384625157,1,High Risk
