Customer_ID,Churn_Probability,Risk_Level,Avg_Monthly_Revenue,Expected_Months,CLV,Priority_Score,Priority_Segment
CUST10652,0.9858247590734612,High Risk,495.3,8.833333333333334,4375.150000000001,4313.131194660255,High Priority
CUST10342,0.837680355081275,High Risk,472.65,10.6,5010.089999999999,4196.853970189145,High Priority
CUST10641,0.9815252000156864,High Risk,499.05,8.4,4192.02,4114.573268969758,High Priority
CUST10584,0.921113028771326,High Risk,462.81,9.6,4442.976,4092.48308011831,High Priority
CUST10161,0.991152675231335,High Risk,486.83,8.233333333333334,4008.233666666667,3972.77152166897,High Priority
CUST10735,0.9336835205462852,High Risk,429.53,9.7,4166.441,3890.137301028385,High Priority
CUST10680,0.9723726870821088,High Risk,489.3,8.133333333333333,3979.64,3869.693240419443,High Priority
CUST10580,0.9514888460824664,High Risk,423.46,9.6,4065.2159999999994,3868.007680915979,High Priority
CUST10240,0.9673394384625156,High Risk,475.99,8.333333333333334,3966.5833333333335,3837.03249428144,High Priority
CUST10123,0.9477176188332852,High Risk,440.81,9.1,4011.3709999999996,3801.6469723768937,High Priority
CUST10422,0.9794084687090584,High Risk,469.89,8.1,3806.109,3727.7353874297655,High Priority
CUST10119,0.8666956881683303,High Risk,491.69,8.5,4179.365,3622.2376247816337,High Priority
CUST10857,0.992608950200921,High Risk,429.95,8.466666666666667,3640.2433333333333,3613.3381135759014,High Priority
CUST10341,0.979691283832505,High Risk,434.65,8.433333333333334,3665.548333333333,3591.105752633432,High Priority
CUST10273,0.9644186500184048,High Risk,458.28,8.1,3712.0679999999998,3579.9876093365197,High Priority
CUST10847,0.9828923914773936,High Risk,414.39,8.766666666666666,3632.8189999999995,3570.670154714513,High Priority
CUST10197,0.9871616183440352,High Risk,403.98,8.933333333333334,3608.8880000000004,3562.5557185023686,High Priority
CUST10421,0.8972130806060041,High Risk,475.32,8.1,3850.0919999999996,3454.352903936531,High Priority
CUST10107,0.9750185938122116,High Risk,397.35,8.866666666666667,3523.1700000000005,3435.15625916137,High Priority
CUST10314,0.9567586082085998,High Risk,444.9,8.033333333333333,3574.0299999999997,3419.483968495782,High Priority
CUST10697,0.9504987081643004,High Risk,425.21,8.366666666666667,3557.5903333333335,3381.4850160111364,High Priority
CUST10776,0.7775860834541066,High Risk,470.77,9.133333333333333,4299.699333333333,3343.3863646368995,High Priority
CUST10749,0.9633156735766965,High Risk,411.0,8.433333333333334,3466.1,3338.9484561841873,Medium Priority
CUST10716,0.9378679214917184,High Risk,429.4,8.2,3521.0799999999995,3302.3079810060594,High Priority
CUST10181,0.9697168325844924,High Risk,411.69,8.266666666666666,3403.3039999999996,3300.241175202133,Medium Priority
CUST10147,0.9183085101574088,High Risk,426.62,8.333333333333334,3555.166666666667,3264.739805027948,High Priority
CUST10836,0.8885455958552005,High Risk,375.04,9.733333333333334,3650.389333333334,3243.5373652901353,High Priority
CUST10821,0.856718755974198,High Risk,426.4,8.7,3709.6799999999994,3178.1524346623623,High Priority
CUST10562,0.6940665689431518,High Risk,458.67,9.866666666666667,4525.544000000001,3141.0287966812675,High Priority
CUST10841,0.9249738349023064,High Risk,359.21,9.266666666666666,3328.6793333333326,3078.9412881133853,Medium Priority
CUST10758,0.9521605158408336,High Risk,380.25,8.433333333333334,3206.775,3053.3645381854894,Medium Priority
CUST10835,0.9106521011678408,High Risk,375.19,8.933333333333334,3351.6973333333335,3052.230219078649,Medium Priority
CUST10524,0.9109447894516728,High Risk,387.18,8.633333333333333,3342.654,3044.9732442397917,Medium Priority
CUST10110,0.992093952326231,High Risk,375.69,8.166666666666666,3068.1349999999998,3043.8781784204407,Medium Priority
CUST10321,0.9651431929129576,High Risk,321.28,9.733333333333334,3127.1253333333334,3018.1237288523303,Medium Priority
CUST10752,0.9536561926804512,High Risk,330.27,9.5,3137.5649999999996,2992.1582921874397,Medium Priority
CUST10005,0.854754279866262,High Risk,363.87,9.4,3420.378,2923.5827342604057,Medium Priority
CUST10969,0.9828664582276232,High Risk,366.19,8.1,2966.1389999999997,2915.318533540824,Medium Priority
CUST10764,0.7828070194351633,High Risk,447.33,8.133333333333333,3638.2839999999997,2848.0742538986433,High Priority
CUST10051,0.8318119575459616,High Risk,339.8,10.066666666666666,3420.653333333333,2845.3403452861185,Medium Priority
CUST10502,0.9422485664524984,High Risk,367.15,8.2,3010.6299999999997,2836.761801618885,Medium Priority
CUST10838,0.7256086257438168,High Risk,434.1,8.833333333333334,3834.5500000000006,2782.382555845953,High Priority
CUST10195,0.9870377225031398,High Risk,310.73,9.066666666666666,2817.2853333333333,2780.7668990548323,Medium Priority
CUST10614,0.8935620023431322,High Risk,308.22,10.0,3082.2000000000003,2754.1368036220024,Medium Priority
CUST10227,0.9764590723083876,High Risk,323.16,8.666666666666666,2800.72,2734.7884529955472,Medium Priority
CUST10340,0.9297759258990276,High Risk,350.49,8.333333333333334,2920.7500000000005,2715.643035569585,Medium Priority
CUST10828,0.8002033007681767,High Risk,381.18,8.766666666666666,3341.678,2674.021765704399,Medium Priority
CUST10686,0.963457247158308,High Risk,286.33,9.666666666666666,2767.8566666666666,2666.7115645954373,Medium Priority
CUST10813,0.7025248216121273,High Risk,417.86,9.066666666666666,3788.597333333333,2661.583665760181,High Priority
CUST10275,0.936705542347346,High Risk,290.8,9.7,2820.7599999999998,2642.2215256316995,Medium Priority
CUST10589,0.9953343012879058,High Risk,309.95,8.5,2634.575,2622.2828668155844,Medium Priority
CUST10093,0.9540931444848798,High Risk,317.15,8.533333333333333,2706.3466666666664,2582.1068012661726,Medium Priority
CUST10932,0.5819337367277028,Medium Risk,474.02,9.333333333333334,4424.1866666666665,2574.5834789142127,Medium Priority
CUST10575,0.6086589823099301,Medium Risk,481.64,8.733333333333334,4206.322666666667,2560.216073560525,Medium Priority
CUST10924,0.6584235669025977,High Risk,445.25,8.633333333333333,3843.9916666666663,2530.974704310528,High Priority
CUST10284,0.9015625800093128,High Risk,302.57,9.133333333333333,2763.4726666666666,2491.4435471452157,Medium Priority
CUST10022,0.9641498293190744,High Risk,274.35,9.3,2551.4550000000004,2459.9849027652995,Medium Priority
CUST10263,0.9823661386296209,High Risk,294.75,8.366666666666667,2466.0750000000003,2422.5885753210423,Medium Priority
CUST10108,0.9409744717803188,High Risk,282.49,9.033333333333333,2551.8263333333334,2401.203436083441,Medium Priority
CUST10743,0.6692239853076836,High Risk,421.69,8.5,3584.365,2398.743030097375,High Priority
CUST10784,0.9198510145148344,High Risk,317.98,8.2,2607.436,2398.452649882502,Medium Priority
CUST10756,0.518675650094657,Medium Risk,469.53,9.733333333333334,4570.092000000001,2370.3954390923914,Medium Priority
CUST10208,0.9149448496552948,High Risk,276.82,9.1,2519.062,2304.802802862366,Medium Priority
CUST10213,0.9054030672134128,High Risk,308.96,8.133333333333333,2512.874666666666,2275.1644307228817,Medium Priority
CUST10662,0.5353214744316408,Medium Risk,497.03,8.5,4224.755,2261.6020757124465,Medium Priority
CUST10259,0.9199112368477272,High Risk,277.95,8.8,2445.96,2250.066088880067,Medium Priority
CUST10563,0.9419201693306016,High Risk,290.98,8.166666666666666,2376.3366666666666,2238.319435453184,Medium Priority
CUST10183,0.9444800995896968,High Risk,283.59,8.3,2353.797,2223.1144249739295,Medium Priority
CUST10323,0.9901680774310356,High Risk,271.85,8.2,2229.17,2207.252973166942,Medium Priority
CUST10593,0.8042167975001583,High Risk,294.59,9.233333333333334,2720.047666666667,2187.508023534445,Medium Priority
